url,title,summary
https://sinosphere.blogs.nytimes.com/2013/10/28/gaming-chinas-art-market-with-expert-forgeries/,Gaming China’s Art Market With Expert Forgeries,"Hundreds, perhaps thousands, of workshops in China are producing replicas of ancient relics and artifacts, some good enough to fool connoisseurs and sell at Chinese auction houses."
https://www.nytimes.com/2006/10/14/nyregion/14mbrfs-003.html,Manhattan: Software Piracy Charges,"Three men accused of selling pirated software programs they advertised on Craigslist have been charged with criminal copyright infringement, Michael J. Garcia, the United States attorney in Manhattan, said yesterday. The three men  Riddi Bajracha..."
https://www.nytimes.com/2020/02/19/us/mgm-data-breach.html,MGM Resorts Says Data Breach Exposed Some Guests’ Personal Information,"The casino and hotel giant said “it was confident that no financial, payment card or password data was involved in this matter.”"
https://www.nytimes.com/2003/07/27/nyregion/briefs-government-guilty-plea-in-asbury-park.html,GUILTY PLEA IN ASBURY PARK,"Former councilman James Condos pleads guilty to federal mail fraud charges in connection with extensive bribery and corruption investigation in Asbury Park and Ocean Township, NJ; says he accepted $25,000 liquor license and nearly $15,000 in cash ..."
https://www.nytimes.com/2014/07/03/technology/cybercrime-scheme-aims-at-payments-in-brazil.html,Cybercrime Scheme Uncovered in Brazil,"Researchers say transactions worth $3.75 billion were compromised, though it is not clear how much was stolen."
https://www.nytimes.com/2018/07/03/business/dealbook/fraud-sec-false-statements.html,Are False Statements Enough to Prove Fraud?,The Supreme Court will take up that issue of whether false statements are enough to prove a scheme to defraud later this year.
https://www.nytimes.com/2001/03/01/world/money-laundering-report-gives-argentine-leader-a-new-woe.html,Money-Laundering Report Gives Argentine Leader a New Woe,"Argentina Pres Fernando de la Rua, who has had series of political setbacks, must now confront report from Washington about several Argentine financial insitutions laundering money from drug dealing and bribery; senior members of de la Rua's coali..."
https://bits.blogs.nytimes.com/2014/09/18/home-depot-says-data-from-56-million-cards-taken-in-breach/,Home Depot Says Data From 56 Million Cards Was Taken in Breach,"Home Depot confirmed on Thursday that 56 million cardholders’ account information had been compromised in a five-month cyberattack, making the breach the largest known attack on a retailer."
https://dealbook.nytimes.com/2012/02/28/grand-jury-is-convened-in-mf-global-case/,Grand Jury Convened in MF Global Case,"Federal prosecutors in Chicago convened a grand jury last year to investigate potential wrongdoing surrounding the collapse of MF Global, the commodities firm once run by Jon S. Corzine, according to a regulatory filing."
https://www.nytimes.com/2000/06/04/nyregion/for-money-laundering-bill-backers-cite-cases-from-past.html,"For Money-Laundering Bill, Backers Cite Cases From Past","Prosecutors cite cases to show need for broader New York law against money laundering law proposed by Gov George E Pataki; bill, strongly backed by federal and state law enforcement authorities and some powerful state legislators, would expand def..."
https://www.nytimes.com/2002/08/27/business/creditors-sue-ex-enron-official-for-12-million.html,Creditors Sue Ex-Enron Official for $12 Million,"Creditors for Enron file suit against former finance executive Michael J Kopper, seeking $12 million he agreed to turn over to government as part of plea deal; creditors says cash should be transferred to estate of company, not to government; argu..."
https://www.nytimes.com/2007/11/22/arts/design/22arts-MUSEUMOFFICI_BRF.html,Museum Official Charged With Theft,"The former chief financial officer of the Bellevue Arts Museum in Washington State has been charged with embezzling $300,000."
https://dealbook.nytimes.com/2011/04/15/bank-of-americas-legal-woes/,Bank of America’s Legal Woes,Bank of America’s quarterly earnings release barely mentioned the financial firm’s legal woes. But that doesn’t mean they’re not a drag on profits.
https://www.nytimes.com/2011/02/01/nyregion/01fraud.html,U.S. Charges Fraud Scheme by 2 Fake Guggenheims and One Fake Countess,The allegations in Manhattan federal court involved people who falsely claimed to be members of the Guggenheim family trying to insinuate themselves with both former President Bushes in hopes of making financial deals.
https://takingnote.blogs.nytimes.com/2013/08/02/another-scapegoat-goes-down/,A Wall Street Scapegoat Goes Down,A jury found Goldman’s Fabrice Tourre liable for civil fraud charges. But higher-level executives have escaped prosecution.
https://dealbook.nytimes.com/2011/10/12/u-s-tax-evasion-case-touches-julius-baer/,U.S. Tax Evasion Case Touches Julius Baer,"A tax evasion investigation in the United States has ensnared Julius Baer, a spokesman for the Swiss lender confirmed Wednesday, a day after the government charged two of the bank’s advisers with conspiring to help clients evade taxes on more than..."
https://www.nytimes.com/2004/08/18/world/world-briefing-americas-brazil-crackdown-on-money-laundering.html,World Briefing | Americas: Brazil: Crackdown On Money Laundering,"Brazilian police, as part of nationwide crackdown on money laundering and black-market currency, arrest infamous currency dealer Antonio de Oliveira Claramunt in Sao Paulo; Claramunt is accused of sending $500 million abroad from 1996 to 2002 (S)"
https://www.nytimes.com/2005/02/05/world/europe/greek-church-struggles-to-quell-raft-of-scandals-involving.html,Greek Church Struggles to Quell Raft of Scandals Involving Clergy,"Metropolitan Panteleimon of Attica, Greece, is suspended for six months as investigation proceeds into accusations that he embezzled $2.9 million and tried to rig court case in which he was fighting for control of monastery; Greece's top Orthodox ..."
https://www.nytimes.com/2015/07/23/business/dealbook/banamex-usa-fined-for-lack-of-safeguards-against-money-laundering.html,Banamex USA Fined for Lack of Safeguards Against Money Laundering,"Federal and state regulators said the bank, a unit of Citigroup, did not have adequate controls to detect illicit financial transactions."
https://dealbook.nytimes.com/2010/12/20/prospect-of-wikileaks-dump-poses-problems-for-regulators/,Prospect of WikiLeaks Dump Poses Problems for Regulators,"Julian Assange, the founder of WikiLeaks, has said his organization has damaging information about a major bank — a prospect that may be more nerve-racking for regulators in Washington."
https://www.nytimes.com/2007/06/08/washington/08cnd-jeff.html,Congressman Pleads Not Guilty to Bribery,Representative William Jefferson was charged with soliciting hundreds of thousands of dollars in bribes.
https://www.nytimes.com/2008/12/26/business/26views.html,Ignominious Seven From 2008,Seven tales of financial wheezes people thought were a good idea during the preceding bull market.
https://www.nytimes.com/2018/03/14/business/equifax-executive-insider-trading.html,Ex-Equifax Executive Charged With Insider Trading Tied to ’17 Breach,"Jun Ying, a former top technology official at the consumer credit reporting agency, sold nearly $1 million in shares before the public was told of a major data breach, the S.E.C. said in a complaint."
https://dealbook.nytimes.com/2014/01/27/two-executives-of-bitcoin-businesses-are-arrested/,Bitcoin Figure Is Accused of Conspiring to Launder Money,"One of the most prominent players in the Bitcoin universe, Charles Shrem, was arrested on Sunday, accused of conspiring to facilitate drug transactions on the now-defunct online bazaar Silk Road."
https://dealbook.nytimes.com/2010/01/04/credit-suisse-accused-of-defrauding-resort-investors/,Credit Suisse Accused of Defrauding Resort Investors,"Credit Suisse has been sued for $24 billion by property owners who contend that the Swiss bank schemed to defraud investors in several resort communities, including the bankrupted Yellowstone Club."
https://www.nytimes.com/2010/08/04/nyregion/04salander.html,Art Dealer Is Sentenced for $120 Million Scheme,Lawrence B. Salander will serve 6 to 18 years in prison for stealing money and artwork.
https://www.nytimes.com/2017/04/07/opinion/offshore-money-bane-of-democracy.html,"Offshore Money, Bane of Democracy","Greedy rulers around the world steal billions, disguise it and stash it in the West."
https://www.nytimes.com/2007/01/18/nyregion/18mbrfs-couple.html,Trenton: Couple Accused of Money Laundering,"A New York couple were arrested yesterday and charged with money laundering and receiving stolen property for using slot machines in Atlantic City to launder embezzled money, said Stuart Rabner, the New Jersey attorney general. The woman, Jamine A..."
